date,price
2019-06-28,306.77
2019-06-29,312.5
2019-06-30,303.5
2019-07-01,288.27
2019-07-02,288.44
2019-07-03,294.07
2019-07-04,293.0
2019-07-05,286.62
2019-07-06,292.37
2019-07-07,305.95
2019-07-08,310.45
2019-07-09,304.73
2019-07-10,287.86
2019-07-11,266.01
2019-07-12,276.98
2019-07-13,264.58
2019-07-14,237.6
2019-07-15,231.14
2019-07-16,203.4
2019-07-17,213.0
2019-07-18,225.24
2019-07-19,220.75
2019-07-20,232.51
2019-07-21,223.08
2019-07-22,218.17
2019-07-23,217.62
2019-07-24,215.2
2019-07-25,218.59
2019-07-26,218.96
2019-07-27,207.78
2019-07-28,207.8
2019-07-29,211.67
2019-07-30,209.22
2019-07-31,215.35
2019-08-01,217.62
2019-08-02,215.94
2019-08-03,222.12
2019-08-04,221.5
2019-08-05,232.0
2019-08-06,225.89
2019-08-07,224.33
2019-08-08,217.58
2019-08-09,209.16
2019-08-10,206.95
2019-08-11,215.11
2019-08-12,212.11
2019-08-13,207.31
2019-08-14,188.2
2019-08-15,186.9
2019-08-16,185.25
2019-08-17,182.9
2019-08-18,195.42
2019-08-19,198.31
2019-08-20,195.8
2019-08-21,185.67
2019-08-22,192.62
2019-08-23,192.59
2019-08-24,189.53
2019-08-25,184.45
2019-08-26,186.44
2019-08-27,186.7
2019-08-28,171.46
2019-08-29,169.67
2019-08-30,169.23
2019-08-31,166.54
2019-09-01,170.31
2019-09-02,180.07
2019-09-03,181.45
2019-09-04,176.5
2019-09-05,172.0
2019-09-06,168.74
2019-09-07,179.15
2019-09-08,180.14
2019-09-09,179.39
2019-09-10,178.08
2019-09-11,176.93
2019-09-12,179.88
2019-09-13,180.97
2019-09-14,188.39
2019-09-15,189.18
2019-09-16,199.03
2019-09-17,213.18
2019-09-18,211.31
2019-09-19,219.8
2019-09-20,216.29
2019-09-21,215.9
2019-09-22,208.22
2019-09-23,204.68
2019-09-24,165.83
2019-09-25,170.6
2019-09-26,164.0
2019-09-27,170.98
2019-09-28,174.41
2019-09-29,168.61
2019-09-30,176.92
2019-10-01,177.69
2019-10-02,177.08
2019-10-03,172.75
2019-10-04,177.41
2019-10-05,175.23
2019-10-06,171.13
2019-10-07,178.98
2019-10-08,177.66
2019-10-09,192.66
2019-10-10,192.18
2019-10-11,181.8
2019-10-12,180.48
2019-10-13,180.8
2019-10-14,187.1
2019-10-15,178.71
2019-10-16,174.32
2019-10-17,176.32
2019-10-18,174.03
2019-10-19,171.53
2019-10-20,174.83
2019-10-21,173.69
2019-10-22,172.32
2019-10-23,160.48
2019-10-24,160.89
2019-10-25,180.98
2019-10-26,178.94
2019-10-27,186.5
2019-10-28,183.99
2019-10-29,191.73
2019-10-30,183.06
2019-10-31,181.23
2019-11-01,184.48
2019-11-02,183.13
2019-11-03,180.71
2019-11-04,186.36
2019-11-05,190.13
2019-11-06,190.51
2019-11-07,186.5
2019-11-08,185.51
2019-11-09,184.7
2019-11-10,189.56
2019-11-11,185.97
2019-11-12,186.13
2019-11-13,187.23
2019-11-14,184.9
2019-11-15,179.55
2019-11-16,183.1
2019-11-17,185.21
2019-11-18,178.31
2019-11-19,174.4
2019-11-20,175.16
2019-11-21,159.86
2019-11-22,152.98
2019-11-23,151.17
2019-11-24,144.16
2019-11-25,148.1
2019-11-26,148.08
2019-11-27,153.67
2019-11-28,152.28
2019-11-29,152.56
2019-11-30,152.0
2019-12-01,150.99
2019-12-02,148.57
2019-12-03,147.89
2019-12-04,145.12
2019-12-05,148.01
2019-12-06,148.38
2019-12-07,147.21
2019-12-08,151.24
2019-12-09,147.46
2019-12-10,144.94
2019-12-11,142.67
2019-12-12,144.74
2019-12-13,144.19
2019-12-14,142.09
2019-12-15,142.73
2019-12-16,131.52
2019-12-17,121.95
2019-12-18,130.39
2019-12-19,126.6
2019-12-20,128.2
2019-12-21,127.02
2019-12-22,132.49
2019-12-23,127.25
2019-12-24,128.14
2019-12-25,125.26
2019-12-26,126.16
2019-12-27,125.52
2019-12-28,128.3
2019-12-29,134.64
2019-12-30,131.66
2019-12-31,128.45
